SMILES,FRAGMENTS
OP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,251.0469:95.0492:153.0699;251.0468:95.0492:153.0699
COCN(COC)C1=NC(=NC(=N1)N(COC)COC)N(COC)COC,177.0884:283.1515:207.099
CCC(C)OC(=O)N1CCCCC1CCO,130.1227:112.1121:156.102;130.123:112.1123:95.0859|130.1232:95.0859:112.1126|130.123:174.1131:156.1025|130.1231:174.1131:156.1025
OC(=O)C1=CC=CC=C1C(=O)OCC1=CC=CC=C1,91.0543:149.0234:65.0387;91.0545|91.0545|91.0545:149.0238|91.0545:149.0235
CCOC(=O)C1=CC=CC=C1C(O)=O,NA
CC(C)COC(=O)C1=CC=CC=C1C(O)=O,149.0234:57.0701:121.0285
CCCCNS(=O)(=O)C1=CC=CC=C1,141.0004:158.0271:95.0492
CCNS(=O)(=O)C1=C(C)C=CC=C1,155.0161:91.0542:119.0604
OC(=O)C(F)(F)C(F)(F)C(F)(F)F,NA
OS(=O)(=O)C1=CC=C2N=C(NC2=C1)C1=CC=CC=C1,275.0484:194.0839:195.0917;275.0484:194.0839:195.0917;275.0487:194.0835|275.0486:194.0837:195.0917|194.0838:193.076:195.0919
CC(C)(C1=CC(Br)=C(O)C(Br)=C1)C1=CC(Br)=C(O)C(Br)=C1,NA
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1C(=O)NC1=CC=CC=C1,NA
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,299.1621:399.2511:199.0731;57.0701:299.1619:399.2508
ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1,314.9853:127.0183:161.9871;161.9872:128.0261:127.0183|314.9853:128.0262:161.9872|314.9852:161.9871:128.0261|161.987:128.026:127.0182|127.0183:93.0573:128.0261|127.0182:93.0573:126.0104|127.0182:93.0572:126.0104|314.9851:161.987:128.026|314.985:161.987:128.026|161.987:128.026:127.0182|127.0182:93.0572:128.026|127.0182:93.0572:126.0104|127.0182:93.0572:126.0104|161.987:128.026:127.0182
OC1=CC(Cl)=CC=C1OC1=CC=C(Cl)C=C1Cl,NA
CC(C)COP(=O)(OCC(C)C)OCC(C)C,98.9842:155.0468:57.0701;98.9842:155.0468:57.0701;98.9845:155.0474|98.9845:155.0474
